pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
82,-0.03,-2.035306e-06,-0.0299018188,0.03,2.048872e-06,0.030134363,0.060036181800000005,4.0841780000000005e-06,14699.697662540662,0.8569945487997757
83,-0.03,-2.035799e-06,-0.0299011349,0.03,2.045619e-06,0.0301358646,0.0600369995,4.081418e-06,14709.838467905029,10.140805364366315
84,-0.03,-2.034442e-06,-0.0299011253,0.03,2.047323e-06,0.0301373615,0.0600384868,4.081765e-06,14708.952328220757,0.8861396842712566
85,-0.03,-2.036451e-06,-0.0299010153,0.03,2.046312e-06,0.0301364959,0.060037511200000004,4.082763e-06,14705.1178821793,3.8344460414573405
86,-0.03,-2.035119e-06,-0.0299010392,0.03,2.047654e-06,0.0301363764,0.060037415600000005,4.0827730000000004e-06,14705.058449245158,0.05943293414202344
87,-0.03,-2.03582e-06,-0.0299003028,0.03,2.04804e-06,0.0301370459,0.0600373487,4.0838600000000006e-06,14701.128025936245,3.930423308913305
88,-0.03,-2.034997e-06,-0.0299003506,0.03,2.049153e-06,0.0301372946,0.0600376452,4.0841500000000005e-06,14700.156752323004,0.9712736132405553
89,-0.03,-2.036216e-06,-0.0299004749,0.03,2.047877e-06,0.0301362807,0.060036755600000005,4.084093e-06,14700.144095641312,0.012656681692533311
90,-0.03,-2.034994e-06,-0.0299003219,0.03,2.048579e-06,0.030134956,0.0600352779,4.083573e-06,14701.654139646826,1.5100440055139188
91,-0.03,-2.035198e-06,-0.0299016753,0.03,2.048866e-06,0.0301338369,0.0600355122,4.084064e-06,14699.944026342388,1.7101133044379822
92,-0.03,-2.033702e-06,-0.0298998963,0.03,2.048246e-06,0.0301369455,0.060036841800000004,4.081948e-06,14707.889909425598,7.945883083209992
93,-0.03,-2.034616e-06,-0.0298999632,0.03,2.047846e-06,0.0301356399,0.0600356031,4.082462e-06,14705.734701266052,2.1552081595455093
94,-0.03,-2.035181e-06,-0.0299014027,0.03,2.048121e-06,0.0301360225,0.0600374252,4.083302e-06,14703.155730337849,2.578970928203489
95,-0.03,-2.034831e-06,-0.0299012066,0.03,2.046586e-06,0.0301377824,0.060038989,4.081417e-06,14710.329525260466,7.173794922617162
96,-0.03,-2.034184e-06,-0.0298996045,0.03,2.047376e-06,0.0301358312,0.0600354357,4.08156e-06,14708.94356569547,1.3859595649955736
97,-0.03,-2.03532e-06,-0.0299007666,0.03,2.046756e-06,0.030135616,0.0600363826,4.0820760000000005e-06,14707.31622831128,1.6273373841904686
98,-0.03,-2.034679e-06,-0.0298989637,0.03,2.048858e-06,0.030136582,0.0600355457,4.083537e-06,14701.849328168202,5.46690014307751
99,-0.03,-2.036139e-06,-0.029899485,0.03,2.048286e-06,0.0301353864,0.060034871399999995,4.0844249999999994e-06,14698.487889972273,3.361438195928713
100,-0.03,-2.03426e-06,-0.0298999489,0.03,2.047881e-06,0.0301364768,0.0600364257,4.082141e-06,14707.092601651928,8.604711679654429
101,-0.03,-2.034839e-06,-0.0299011301,0.03,2.047469e-06,0.0301359986,0.0600371287,4.082308e-06,14706.663167012386,0.42943463954179606
102,-0.03,-2.033898e-06,-0.0299003171,0.03,2.046006e-06,0.0301368642,0.0600371813,4.079904000000001e-06,14715.34165999984,8.678492987453865
103,-0.03,-2.035141e-06,-0.029900298,0.03,2.046071e-06,0.0301354151,0.0600357131,4.081212e-06,14710.26574948814,5.075910511699476
104,-0.03,-2.033061e-06,-0.0299005036,0.03,2.048552e-06,0.0301344491,0.0600349527,4.081613000000001e-06,14708.634233573832,1.631515914308693
105,-0.03,-2.034359e-06,-0.029900011,0.03,2.048499e-06,0.0301374524,0.060037463400000005,4.082858e-06,14704.76401579482,3.870217779011
106,-0.03,-2.035927e-06,-0.0299016466,0.03,2.049743e-06,0.0301348029,0.060036449500000005,4.08567e-06,14694.395166521037,10.36884927378378
107,-0.03,-2.036451e-06,-0.029900671,0.03,2.048704e-06,0.0301378015,0.060038472499999995,4.085155e-06,14696.74284084692,2.3476743258834176
108,-0.03,-2.035567e-06,-0.0299003123,0.03,2.048411e-06,0.0301370794,0.0600373917,4.083978e-06,14700.713789349502,3.97094850258145
109,-0.03,-2.036635e-06,-0.0299002215,0.03,2.047081e-06,0.0301375576,0.0600377791,4.083716e-06,14701.751811340457,1.0380219909548032
110,-0.03,-2.036673e-06,-0.0298992363,0.03,2.04822e-06,0.0301376915,0.0600369278,4.084893e-06,14697.307322370501,4.444488969955273
111,-0.03,-2.034847e-06,-0.0299006997,0.03,2.048162e-06,0.0301371607,0.0600378604,4.083008999999999e-06,14704.317428641476,7.010106270974575
112,-0.03,-2.033763e-06,-0.0298996667,0.03,2.048602e-06,0.0301374955,0.0600371622,4.082364999999999e-06,14706.466031332331,2.148602690855114
