index,chunk,resistance_ohm,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm,compliance_hit
120,3,15687.1757078,-0.03,-0.0299048116,-1.88505e-06,15864.2007374,0.03,0.0301316413,1.942054e-06,15515.3467926,0
121,3,15693.8904433,-0.03,-0.0299026925,-1.884188e-06,15870.333799,0.03,0.0301332339,1.941245e-06,15522.633104,0
122,3,15690.2082191,-0.03,-0.0299033955,-1.885019e-06,15863.7103923,0.03,0.0301336643,1.941384e-06,15521.7434057,0
123,3,15680.8825976,-0.03,-0.0299040268,-1.886056e-06,15855.3228536,0.03,0.0301336977,1.942665e-06,15511.5255075,0
124,3,15683.3920879,-0.03,-0.0299033716,-1.884629e-06,15866.9805039,0.03,0.0301337982,1.943444e-06,15505.3596605,0
125,3,15689.3371957,-0.03,-0.0299024486,-1.884083e-06,15871.0888002,0.03,0.0301346829,1.942537e-06,15513.0547835,0
126,3,15691.8630643,-0.03,-0.0299030655,-1.88423e-06,15870.1780037,0.03,0.0301326217,1.941682e-06,15518.8242462,0
127,3,15683.4748427,-0.03,-0.0299050455,-1.885674e-06,15859.0750575,0.03,0.0301333821,1.942459e-06,15513.008048,0
128,3,15684.394225,-0.03,-0.0299034864,-1.885533e-06,15859.4341229,0.03,0.0301342573,1.942332e-06,15514.4729634,0
129,3,15698.4749867,-0.03,-0.0299036681,-1.883878e-06,15873.4631967,0.03,0.0301329517,1.940482e-06,15528.5911954,0
130,3,15695.2148432,-0.03,-0.0299024869,-1.883196e-06,15878.5845446,0.03,0.0301342525,1.941966e-06,15517.3944858,0
131,3,15678.3335022,-0.03,-0.0299029508,-1.885922e-06,15855.8788752,0.03,0.0301327747,1.943294e-06,15506.0298133,0
132,3,15692.4664765,-0.03,-0.029902506,-1.883621e-06,15875.0120114,0.03,0.0301329947,1.942132e-06,15515.4205275,0
133,3,15692.7833874,-0.03,-0.0299023386,-1.88391e-06,15872.4878577,0.03,0.0301331191,1.941763e-06,15518.4330425,0
134,3,15684.1721099,-0.03,-0.0299020612,-1.886268e-06,15852.4987966,0.03,0.0301347068,1.941589e-06,15520.6414952,0
135,3,15684.2360572,-0.03,-0.0299027786,-1.884876e-06,15864.5866359,0.03,0.0301328226,1.942891e-06,15509.2707723,0
136,3,15695.2894732,-0.03,-0.029904242,-1.884427e-06,15869.1432462,0.03,0.0301326887,1.940729e-06,15526.4793281,0
137,3,15690.6554992,-0.03,-0.0299036633,-1.8846e-06,15867.3794439,0.03,0.0301323778,1.941629e-06,15519.1222422,0
138,3,15682.1321334,-0.03,-0.0299031373,-1.885423e-06,15860.1742421,0.03,0.0301327221,1.942874e-06,15509.3547497,0
139,3,15698.179346,-0.03,-0.0299024869,-1.882536e-06,15884.1514319,0.03,0.0301344151,1.941914e-06,15517.8937378,0
140,3,15697.9448971,-0.03,-0.0299039885,-1.882051e-06,15889.0425924,0.03,0.0301324878,1.942429e-06,15512.787237,0
141,3,15682.6504978,-0.03,-0.0299034912,-1.88612e-06,15854.5008801,0.03,0.0301325021,1.942059e-06,15515.7500879,0
