nplc,round,sample_index,sample_wall_time,sample_started_s,sample_ended_s,sample_elapsed_s,differential_resistance_ohm,compliance_hit,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm
0.1,1,19,2026-05-27T21:43:19.328,16277.816476,16277.9789486,0.16247260000091046,28881.2257881908,False,-0.03,-0.0299370472,-7.360553e-07,40672.27992244605,0.03,0.0301329941,1.343844e-06,22422.985182803954
0.1,1,20,2026-05-27T21:43:19.488,16277.9790026,16278.1391037,0.16010110000024724,34936.59967220094,False,-0.03,-0.0298579045,-6.557167e-07,45534.76295479435,0.03,0.0301696964,1.06247e-06,28395.810140521615
0.1,1,21,2026-05-27T21:43:19.651,16278.1391588,16278.302058,0.16289919999871927,35321.68413627619,False,-0.03,-0.0298750253,-5.913597e-07,50519.210727413454,0.03,0.0301748648,1.108726e-06,27215.799755755706
0.1,1,22,2026-05-27T21:43:19.819,16278.302117,16278.4700653,0.1679483000007167,28055.781302550462,False,-0.03,-0.0298704823,-1.287117e-06,23207.278203923965,0.03,0.0300661915,8.492225e-07,35404.37458969822
0.1,1,23,2026-05-27T21:43:19.992,16278.4701206,16278.6421787,0.17205809999904886,25815.72560268896,False,-0.03,-0.0298804158,-1.370377e-06,21804.522259203124,0.03,0.0300698561,9.518615e-07,31590.579196658335
0.1,1,24,2026-05-27T21:43:20.158,16278.6422339,16278.8092049,0.16697100000055798,53639.40340683777,False,-0.03,-0.0298602705,-4.576035e-07,65253.58853243037,0.03,0.0300619055,6.595263e-07,45581.05643398906
0.1,1,25,2026-05-27T21:43:20.332,16278.809261,16278.982908,0.17364699999961886,36171.96271356802,False,-0.03,-0.0298899816,-1.156285e-06,25850.01241043514,0.03,0.0300717782,5.014011e-07,59975.49307330996
0.1,1,26,2026-05-27T21:43:20.517,16278.982969,16279.1677073,0.18473829999857116,28368.795771876757,False,-0.03,-0.0299000248,-1.254704e-06,23830.34149887145,0.03,0.0301681428,8.626988e-07,34969.49665398862
0.1,1,27,2026-05-27T21:43:20.680,16279.1677809,16279.3309438,0.16316290000031586,44354.593877522486,False,-0.03,-0.0298235565,-1.009478e-06,29543.542801329004,0.03,0.0301391484,3.424159e-07,88019.12644827532
0.1,1,28,2026-05-27T21:43:20.838,16279.3310011,16279.4890207,0.15801960000135296,25995.970663516055,False,-0.03,-0.0298760451,-1.333377e-06,22406.30001867439,0.03,0.0300664701,9.724617e-07,30917.896406614265
0.1,1,29,2026-05-27T21:43:20.995,16279.4890754,16279.6456571,0.15658169999915117,31270.046682960376,False,-0.03,-0.0298812109,-1.18782e-06,25156.345995184456,0.03,0.0301215871,7.310386e-07,41203.82576241528
0.1,1,30,2026-05-27T21:43:21.153,16279.6457107,16279.8041055,0.15839479999885953,40375.63584793377,False,-0.03,-0.0298469572,-9.337649e-07,31964.10274149307,0.03,0.0301364723,5.518694e-07,54607.978445625
0.3,1,0,2026-05-27T21:43:22.627,16281.126303,16281.2781004,0.1517974000016693,36206.10016189321,False,-0.03,-0.029883833,-1.170717e-06,25526.094692397906,0.03,0.0301237519,4.866718e-07,61897.467451370714
0.3,1,1,2026-05-27T21:43:22.784,16281.2781562,16281.434393,0.1562367999995331,60426.57299977673,False,-0.03,-0.029882446,-4.971362e-07,60109.1733009988,0.03,0.0301164821,4.957867e-07,60744.83664043428
0.3,1,2,2026-05-27T21:43:22.943,16281.4344472,16281.5936519,0.15920470000128262,46565.29238372715,False,-0.03,-0.029880027,-7.14742e-07,41805.33255356478,0.03,0.0301183278,5.73736e-07,52495.09844248922
0.3,1,3,2026-05-27T21:43:23.101,16281.5937181,16281.7521593,0.15844119999928807,44962.22406282544,False,-0.03,-0.0298828168,-7.455881e-07,40079.5248743911,0.03,0.030117738,5.888778e-07,51144.29173590853
0.3,1,4,2026-05-27T21:43:23.258,16281.7522141,16281.9084444,0.1562302999991516,31293.168562363047,False,-0.03,-0.0298857183,-9.414654e-07,31743.83073451239,0.03,0.0301208945,9.760973e-07,30858.495869213035
0.3,1,5,2026-05-27T21:43:23.416,16281.9085186,16282.0663561,0.15783750000082364,24791.315114739125,False,-0.03,-0.0298799313,-1.195949e-06,24984.28553391491,0.03,0.0301164148,1.224106e-06,24602.78341908299
0.3,1,6,2026-05-27T21:43:23.567,16282.0664114,16282.2174297,0.15101830000094196,33993.96015040981,False,-0.03,-0.0298793618,-1.178554e-06,25352.560680291273,0.03,0.0301169694,5.863575e-07,51362.81091313746
0.3,1,7,2026-05-27T21:43:23.725,16282.2174894,16282.3753646,0.1578752000004897,60968.66897235611,False,-0.03,-0.0298864399,-4.960149e-07,60253.109130391036,0.03,0.0301208751,4.882171e-07,61695.65773095616
0.3,1,8,2026-05-27T21:43:23.883,16282.3754229,16282.5344051,0.158982199998718,25912.389362949987,False,-0.03,-0.0298779749,-1.07887e-06,27693.76746039838,0.03,0.0301209707,1.236584e-06,24358.20833845497
0.3,1,9,2026-05-27T21:43:24.067,16282.5344599,16282.7177068,0.1832469000000856,38245.817375021616,False,-0.03,-0.0298811314,-5.529363e-07,54040.820615322235,0.03,0.0301209454,1.015917e-06,29649.021918129143
0.3,1,10,2026-05-27T21:43:24.226,16282.7177612,16282.8762656,0.15850440000031085,60073.64442213345,False,-0.03,-0.029882961,-5.040048e-07,59291.02460928943,0.03,0.0301192078,4.948054e-07,60870.81466774614
0.3,1,11,2026-05-27T21:43:24.385,16282.8763326,16283.0356402,0.15930759999901056,58346.47520280437,False,-0.03,-0.0298801235,-5.174649e-07,57743.285583234734,0.03,0.030122954,5.109276e-07,58957.38261154809
0.3,1,12,2026-05-27T21:43:24.542,16283.0357069,16283.192169,0.15646209999977145,52111.61886773343,False,-0.03,-0.0298760266,-5.501325e-07,54306.96532199062,0.03,0.0301152703,6.010752e-07,50102.3337845248
0.3,1,13,2026-05-27T21:43:24.701,16283.1922405,16283.3520973,0.15985679999903368,39565.1991709645,False,-0.03,-0.0298840799,-9.252003e-07,32300.119120151605,0.03,0.0301150016,5.912607e-07,50933.541836959565
0.3,1,14,2026-05-27T21:43:24.860,16283.3521562,16283.5109104,0.15875419999974838,36587.612241804054,False,-0.03,-0.0298765398,-8.661718e-07,34492.625827809214,0.03,0.0301209317,7.736584e-07,38933.11531290813
0.3,1,15,2026-05-27T21:43:25.053,16283.5109653,16283.7045845,0.19361919999937527,44089.691058277655,False,-0.03,-0.0298809236,-6.602007e-07,45260.363401614086,0.03,0.0301107771,7.004734e-07,42986.32481975761
0.3,1,16,2026-05-27T21:43:25.214,16283.7046411,16283.865204,0.16056290000051376,26149.059717401025,False,-0.03,-0.0298811197,-1.101017e-06,27139.562513567,0.03,0.0301268408,1.193825e-06,25235.558645530124
0.3,1,17,2026-05-27T21:43:25.373,16283.8652728,16284.0230797,0.15780690000065078,25843.05878025099,False,-0.03,-0.0298769271,-1.165805e-06,25627.72256080562,0.03,0.0301175788,1.155689e-06,26060.27988498636
0.3,1,18,2026-05-27T21:43:25.529,16284.0231356,16284.1797832,0.1566475999989052,33308.16176404466,False,-0.03,-0.0298797806,-9.087947e-07,32878.47145235332,0.03,0.0301241467,8.926835e-07,33745.60714967847
0.3,1,19,2026-05-27T21:43:25.687,16284.1798397,16284.3381288,0.15828909999981988,51511.509802347835,False,-0.03,-0.0298802908,-5.678002e-07,52624.65705366078,0.03,0.0301280683,5.971503e-07,50453.07404182833
0.3,1,20,2026-05-27T21:43:25.838,16284.3381839,16284.4890705,0.15088660000037635,43713.401904861836,False,-0.03,-0.0298751046,-4.912463e-07,60814.92033629567,0.03,0.03011872,8.811892e-07,34179.629073983204
0.3,1,21,2026-05-27T21:43:25.996,16284.4891238,16284.64684,0.15771619999941322,26929.579336628092,False,-0.03,-0.0298796479,-1.164118e-06,25667.19860014191,0.03,0.0301189432,1.063863e-06,28310.92274099203
0.3,1,22,2026-05-27T21:43:26.158,16284.6468939,16284.808169,0.16127509999932954,46313.93904446961,False,-0.03,-0.0298796798,-4.922269e-07,60703.06153523913,0.03,0.0301185925,8.032421e-07,37496.28225412985
0.3,1,23,2026-05-27T21:43:26.340,16284.8082256,16284.9911657,0.18294009999954142,43332.19162302833,False,-0.03,-0.0298794247,-8.960394e-07,33346.10587436222,0.03,0.0301216644,4.886376e-07,61644.18047239918
0.3,1,24,2026-05-27T21:43:26.499,16284.9912544,16285.1498825,0.15862809999998717,41462.21960580448,False,-0.03,-0.029875847,-9.455368e-07,31596.704644388246,0.03,0.0301171529,5.013949e-07,60066.731632092786
0.3,1,25,2026-05-27T21:43:26.658,16285.1499385,16285.3083635,0.15842499999962456,27584.97535077391,False,-0.03,-0.0298804222,-1.076208e-06,27764.541984449104,0.03,0.0301201818,1.098911e-06,27409.118481842477
0.3,1,26,2026-05-27T21:43:26.814,16285.308427,16285.46475,0.15632299999924726,24676.275862692914,False,-0.03,-0.0298789396,-1.210104e-06,24691.216292153404,0.03,0.0301260643,1.221584e-06,24661.47583792846
0.3,1,27,2026-05-27T21:43:26.974,16285.464805,16285.6249647,0.16015970000080415,25706.627439220312,False,-0.03,-0.0298816995,-1.128366e-06,26482.275697778914,0.03,0.0301239956,1.205884e-06,24980.840279827913
0.3,1,28,2026-05-27T21:43:27.133,16285.6250209,16285.7836508,0.15862989999914134,25825.050097785366,False,-0.03,-0.0298857168,-1.138883e-06,26241.252876722192,0.03,0.0301176508,1.184573e-06,25424.900618197444
0.3,1,29,2026-05-27T21:43:27.320,16285.7837068,16285.9703573,0.1866504999998142,47019.17343156659,False,-0.03,-0.0298801212,-7.889146e-07,37874.97556769769,0.03,0.0301168378,4.870959e-07,61829.38062094138
0.3,1,30,2026-05-27T21:43:27.480,16285.9704118,16286.1313302,0.16091839999899094,31408.542008522934,False,-0.03,-0.0298803444,-1.003721e-06,29769.571823245704,0.03,0.0301188092,9.065604e-07,33223.16880375538
1.0,1,0,2026-05-27T21:43:29.212,16287.6292898,16287.8636187,0.2343289000000368,34985.86633013739,False,-0.03,-0.0298802176,-8.692676e-07,34374.01509040484,0.03,0.0301204347,8.457293e-07,35614.74658617125
1.0,1,1,2026-05-27T21:43:29.437,16287.8636738,16288.0876909,0.22401709999940067,35166.16786682624,False,-0.03,-0.0298799211,-8.619064e-07,34667.245886560304,0.03,0.0301192582,8.442556e-07,35675.52077830458
1.0,1,2,2026-05-27T21:43:29.665,16288.0877614,16288.3163743,0.22861290000037116,35446.26416935269,False,-0.03,-0.0298792516,-8.517265e-07,35080.805399385834,0.03,0.0301222951,8.410202e-07,35816.375278501044
1.0,1,3,2026-05-27T21:43:29.890,16288.3164299,16288.5415964,0.22516650000034133,35430.15657011967,False,-0.03,-0.0298789264,-8.491191e-07,35188.1454556846,0.03,0.0301205734,8.443394e-07,35673.53767927921
1.0,1,4,2026-05-27T21:43:30.118,16288.5416497,16288.768926,0.22727630000008503,35538.20432658308,False,-0.03,-0.0298805667,-8.499192e-07,35156.949860645575,0.03,0.0301211282,8.384524e-07,35924.67288542558
