index,differential_resistance_ohm,negative_voltage_v,positive_voltage_v,negative_current_a,positive_current_a,compliance_hit
66,241688.077535,-0.029901457,0.0301350699,-1.379195e-07,1.104855e-07,0
67,241678.702074,-0.0299007923,0.0301342999,-1.394553e-07,1.089534e-07,0
68,238629.740422,-0.0299016866,0.0301349073,-1.386585e-07,1.129304e-07,0
69,235592.853404,-0.029902184,0.0301343669,-1.421963e-07,1.126355e-07,0
70,237403.457322,-0.0299020357,0.0301320283,-1.427302e-07,1.101476e-07,0
71,246057.671303,-0.0299019975,0.0301343765,-1.362146e-07,1.077785e-07,0
72,242097.929044,-0.0299043743,0.0301339269,-1.374948e-07,1.10497e-07,0
73,237865.478199,-0.029901744,0.0301323153,-1.404455e-07,1.119411e-07,0
74,236713.949673,-0.0299030257,0.0301336208,-1.429669e-07,1.106584e-07,0
75,239809.07983,-0.0299031404,0.0301342378,-1.415947e-07,1.087602e-07,0
76,242717.284,-0.0299020788,0.0301330948,-1.379898e-07,1.093563e-07,0
77,243243.966324,-0.0299023848,0.0301358207,-1.370157e-07,1.098073e-07,0
78,237810.098421,-0.029900864,0.0301308471,-1.39221e-07,1.132145e-07,0
79,237195.908895,-0.0299022987,0.030132057,-1.405654e-07,1.125349e-07,0
80,237408.740208,-0.0298996971,0.030133946,-1.424951e-07,1.103753e-07,0
81,239951.119398,-0.0299022892,0.0301338408,-1.389361e-07,1.112654e-07,0
82,236976.735879,-0.0299020309,0.0301353616,-1.406547e-07,1.126925e-07,0
83,235614.079966,-0.029901634,0.0301339174,-1.406179e-07,1.141867e-07,0
84,238063.429348,-0.0299014905,0.0301347973,-1.405049e-07,1.116812e-07,0
85,231647.684817,-0.0299006871,0.0301363468,-1.480282e-07,1.111457e-07,0
86,228509.876604,-0.0299030591,0.0301337978,-1.46307e-07,1.16425e-07,0
87,227437.370705,-0.0299031883,0.0301356151,-1.45943e-07,1.180365e-07,0
88,231235.774944,-0.0299030639,0.0301346921,-1.455029e-07,1.141358e-07,0
89,233005.167194,-0.0299004336,0.0301366098,-1.435838e-07,1.140802e-07,0
90,237351.902567,-0.0299003284,0.0301354381,-1.407097e-07,1.122302e-07,0
91,239070.632845,-0.0298994532,0.0301355577,-1.397177e-07,1.114006e-07,0
92,236216.422655,-0.0299008019,0.030134783,-1.41812e-07,1.12343e-07,0
93,239932.525788,-0.0298990663,0.0301336592,-1.399511e-07,1.102556e-07,0
94,240534.072294,-0.029903686,0.0301364808,-1.389658e-07,1.106461e-07,0
95,236973.247244,-0.0299007449,0.0301363325,-1.419715e-07,1.113781e-07,0
96,240055.12282,-0.029899162,0.0301359356,-1.404357e-07,1.096531e-07,0
97,236996.120574,-0.029900281,0.0301333722,-1.42059e-07,1.112517e-07,0
98,234306.069514,-0.0299005249,0.0301345009,-1.44943e-07,1.112818e-07,0
99,238003.163814,-0.0299019835,0.030136409,-1.403993e-07,1.118595e-07,0
100,240595.243152,-0.0299001328,0.0301368012,-1.388724e-07,1.106626e-07,0
101,237083.574161,-0.0299000228,0.0301352756,-1.418421e-07,1.113821e-07,0
102,234854.227969,-0.0299020122,0.0301345726,-1.432725e-07,1.123609e-07,0
103,240986.813949,-0.0299000371,0.0301362608,-1.401581e-07,1.089688e-07,0
104,243227.755509,-0.0299001758,0.0301350987,-1.391837e-07,1.076437e-07,0
105,244427.884862,-0.0299003719,0.0301339031,-1.377306e-07,1.078808e-07,0
106,237579.617779,-0.0298998937,0.0301356917,-1.420092e-07,1.106875e-07,0
107,239807.27645,-0.0299006445,0.0301338122,-1.403954e-07,1.099492e-07,0
108,247878.702013,-0.0299008214,0.0301360695,-1.387271e-07,1.034756e-07,0
109,242375.320443,-0.0299008358,0.0301364521,-1.372761e-07,1.104277e-07,0
110,237123.095778,-0.0299008071,0.030135773,-1.415889e-07,1.115985e-07,0
111,238537.462322,-0.0298982581,0.0301354669,-1.418966e-07,1.097776e-07,0
112,238509.938227,-0.0298995876,0.0301357251,-1.407959e-07,1.10914e-07,0
113,238928.217019,-0.0298993054,0.0301344913,-1.412786e-07,1.099843e-07,0
