nplc,round,sample_index,sample_wall_time,sample_started_s,sample_ended_s,sample_elapsed_s,differential_resistance_ohm,compliance_hit,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm
0.1,1,21,2026-05-27T21:38:26.321,15984.7953187,15984.9713758,0.17605709999952524,29300.15944820326,False,-0.03,-0.0298659905,-1.321166e-06,22605.78193807591,0.03,0.0301407507,7.268345e-07,41468.519587333845
0.1,1,22,2026-05-27T21:38:26.483,15984.9714311,15985.1337902,0.16235909999886644,35198.378396242915,False,-0.03,-0.0298782457,-9.829797e-07,30395.587721699645,0.03,0.0300825826,7.205314e-07,41750.55049648079
0.1,1,23,2026-05-27T21:38:26.643,15985.1338423,15985.2940105,0.16016820000004373,27073.62524637602,False,-0.03,-0.029894765,-1.324527e-06,22570.143907976206,0.03,0.0301065126,8.916992e-07,33763.08131710783
0.1,1,24,2026-05-27T21:38:26.809,15985.2940687,15985.460313,0.1662443000004714,27077.298757966393,False,-0.03,-0.0298571627,-1.346419e-06,22175.238688699428,0.03,0.0300733936,8.668947e-07,34690.94181796244
0.1,1,25,2026-05-27T21:38:27.008,15985.4603678,15985.6583127,0.19794489999912912,26897.72042850643,False,-0.03,-0.0298189261,-9.619345e-07,30998.9153107618,0.03,0.0301536166,1.267717e-06,23785.763384099133
0.1,1,26,2026-05-27T21:38:27.168,15985.65837,15985.819241,0.16087100000004284,29317.93823376348,False,-0.03,-0.0298683611,-9.539523e-07,31310.120118165236,0.03,0.0301121914,1.091913e-06,27577.46395546165
0.1,1,27,2026-05-27T21:38:27.329,15985.8192995,15985.9797286,0.16042909999850963,27306.214607372298,False,-0.03,-0.0298971102,-8.008454e-07,37331.937225337126,0.03,0.0301591788,1.398518e-06,21565.098768839587
0.1,1,28,2026-05-27T21:38:27.499,15985.9797791,15986.1502309,0.1704518000005919,28777.8853180598,False,-0.03,-0.0299370418,-8.454198e-07,35410.85955166889,0.03,0.0301482992,1.24248e-06,24264.615285557917
0.1,1,29,2026-05-27T21:38:27.695,15986.1502829,15986.3461225,0.19583959999908984,47263.7944578837,False,-0.03,-0.0299120845,-8.92118e-07,33529.29152869912,0.03,0.0301263432,3.781657e-07,79664.39896585015
0.3,1,0,2026-05-27T21:38:29.248,15987.7363758,15987.8985672,0.16219140000066545,29976.34762033589,False,-0.03,-0.0298771159,-1.176599e-06,25392.776893402086,0.03,0.0301227771,8.249755e-07,36513.541432442544
