pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
111,-0.03,-8.279554e-07,-0.0299007511,0.03,8.595035e-07,0.0301354134,0.0600361645,1.6874589e-06,35577.85288874295,248.98164241186169
112,-0.03,-8.273093e-07,-0.0298995459,0.03,8.607529e-07,0.0301343565,0.060033902400000005,1.6880622e-06,35563.797589922935,14.055298820014286
113,-0.03,-8.210402e-07,-0.029901325,0.03,8.605051e-07,0.0301360638,0.0600373888,1.6815453e-06,35703.699924111475,139.9023341885404
114,-0.03,-8.241254e-07,-0.0298988142,0.03,8.617949e-07,0.030136389,0.0600352032,1.6859203e-06,35609.75165907902,93.94826503245713
115,-0.03,-8.288349e-07,-0.0299005885,0.03,8.576742e-07,0.0301332374,0.0600338259,1.6865090999999998e-06,35596.502799777365,13.248859301653283
116,-0.03,-8.367152e-07,-0.0299019084,0.03,8.499827e-07,0.0301346147,0.0600365231,1.6866979e-06,35594.11741723281,2.3853825445548864
117,-0.03,-8.207273e-07,-0.0298987759,0.03,8.653856e-07,0.0301354947,0.0600342706,1.6861129e-06,35605.130949416256,11.013532183445932
118,-0.03,-8.250689e-07,-0.0298999572,0.03,8.689677e-07,0.0301357769,0.0600357341,1.6940366e-06,35439.455145183994,165.67580423226173
119,-0.03,-8.292393e-07,-0.0299014684,0.03,8.747566e-07,0.0301352699,0.0600367383,1.7039959e-06,35232.91241487142,206.54273031257617
120,-0.03,-8.294784e-07,-0.029900665,0.03,8.783464e-07,0.0301337778,0.060034442800000004,1.7078248e-06,35152.57700907026,80.33540580116096
121,-0.03,-8.368633e-07,-0.0299004115,0.03,8.814977e-07,0.0301333857,0.0600337972,1.718361e-06,34936.661853941056,215.9151551292016
122,-0.03,-8.425508e-07,-0.0298979438,0.03,8.689034e-07,0.0301356573,0.0600336011,1.7114542e-06,35077.538797123525,140.8769431824694
123,-0.03,-8.184754e-07,-0.0298999859,0.03,8.972925e-07,0.0301323335,0.0600323194,1.7157679e-06,34988.601546864236,88.9372502592887
124,-0.03,-8.176226e-07,-0.0298994311,0.03,8.431778e-07,0.0301357099,0.060035141,1.6608004e-06,36148.31800377697,1159.7164569127344
125,-0.03,-8.259818e-07,-0.0298991298,0.03,8.863922e-07,0.0301344426,0.0600335724,1.712374e-06,35058.68017150459,1089.637832272383
126,-0.03,-8.171339e-07,-0.0298992207,0.03,8.63672e-07,0.0301350691,0.0600342898,1.6808058999999999e-06,35717.56250974607,658.8823382414848
127,-0.03,-8.24453e-07,-0.0299008563,0.03,8.557639e-07,0.0301351121,0.0600359684,1.6802169e-06,35731.08233823859,13.519828492520901
128,-0.03,-8.216609e-07,-0.0298990055,0.03,8.642388e-07,0.0301358008,0.0600348063,1.6858997e-06,35609.95135119841,121.13098704018194
129,-0.03,-8.211807e-07,-0.0299012437,0.03,9.040434e-07,0.0301340217,0.060035265399999996,1.7252241000000002e-06,34798.53162264542,811.4197285529881
130,-0.03,-8.382621e-07,-0.0299004307,0.03,8.704702e-07,0.0301337013,0.060034132000000004,1.7087323000000001e-06,35133.72574510355,335.1941224581242
131,-0.03,-8.396706e-07,-0.0298985225,0.03,8.66619e-07,0.0301349399,0.0600334624,1.7062896e-06,35183.63025831019,49.90451320664579
132,-0.03,-8.272335e-07,-0.0298982164,0.03,8.693581e-07,0.0301358199,0.060034036299999996,1.6965916e-06,35385.084011968465,201.45375365827203
133,-0.03,-8.281656e-07,-0.0298991633,0.03,8.612765e-07,0.0301365325,0.0600356958,1.6894421000000001e-06,35535.81137820586,150.72736623739183
134,-0.03,-8.150981e-07,-0.0298985177,0.03,8.547644e-07,0.03013439,0.0600329077,1.6698625e-06,35950.80894385016,414.9975656443057
135,-0.03,-8.273195e-07,-0.0298978338,0.03,8.678188e-07,0.0301349208,0.0600327546,1.6951383e-06,35414.66475036285,536.1441934873146
