round,nplc,pair,t_s,pair_elapsed_s,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
0,1.0,80,13.55172980000043,0.16398280000066734,-0.03,-2.009482e-06,-0.0298979513,0.03,2.061822e-06,0.0301355436,0.0600334949,4.071304e-06,14745.520083982918
0,1.0,81,13.72120730000006,0.16947309999977733,-0.03,-2.010122e-06,-0.0298984344,0.03,2.063045e-06,0.030135778,0.060034212399999995,4.073167e-06,14738.951877003814
0,1.0,82,13.890652500000215,0.16944150000017544,-0.03,-2.01006e-06,-0.02989864,0.03,2.06392e-06,0.0301357158,0.0600343558,4.073980000000001e-06,14736.045783238993
0,1.0,83,14.054467099999783,0.16381060000003345,-0.03,-2.011058e-06,-0.0298971766,0.03,2.063757e-06,0.030136701,0.060033877599999994,4.074815e-06,14732.908757820907
0,1.0,84,14.230368100000305,0.17589090000001306,-0.03,-2.011551e-06,-0.0298970857,0.03,2.06339e-06,0.0301371649,0.0600342506,4.074941e-06,14732.544741138583
0,1.0,85,14.39580930000011,0.165432900000269,-0.03,-2.010459e-06,-0.0298951298,0.03,2.064298e-06,0.0301364905,0.060031620300000005,4.074756999999999e-06,14732.564494029953
0,1.0,86,14.563870099999804,0.16805699999986246,-0.03,-2.010947e-06,-0.0298987787,0.03,2.063078e-06,0.0301371936,0.060035972300000004,4.074025e-06,14736.279797006646
0,1.0,87,14.738834400000087,0.17496029999983875,-0.03,-2.009468e-06,-0.0298993382,0.03,2.062514e-06,0.030135558,0.0600348962,4.071982e-06,14743.409032751128
0,1.0,88,14.904845299999579,0.16600689999995666,-0.03,-2.011043e-06,-0.0298990226,0.03,2.064053e-06,0.0301365671,0.0600355897,4.075096e-06,14732.31298109296
0,1.0,89,15.069469500000196,0.16462000000046828,-0.03,-2.009695e-06,-0.0298978557,0.03,2.063258e-06,0.0301360793,0.060033935,4.0729529999999996e-06,14739.65817921297
0,1.0,90,15.233099299999594,0.16362579999986337,-0.03,-2.010928e-06,-0.0298974014,0.03,2.062977e-06,0.0301366579,0.0600340593,4.0739050000000004e-06,14736.24429141082
0,1.0,91,15.404558299999735,0.1714548999998442,-0.03,-2.01055e-06,-0.0298987548,0.03,2.062957e-06,0.0301357301,0.060034484900000004,4.073507e-06,14737.78856891617
0,1.0,92,15.572253399999681,0.16768879999926867,-0.03,-2.009574e-06,-0.0298978605,0.03,2.06344e-06,0.0301363519,0.0600342124,4.073014e-06,14739.505535704027
0,1.0,93,15.734379200000149,0.1621208000005936,-0.03,-2.010466e-06,-0.0298986496,0.03,2.062919e-06,0.0301372222,0.0600358718,4.073385e-06,14738.570451847789
0,1.0,94,15.907544400000006,0.1731603999996878,-0.03,-2.01068e-06,-0.0298994921,0.03,2.064259e-06,0.0301350325,0.0600345246,4.074939e-06,14732.619212213975
0,1.0,95,16.07440729999962,0.16685389999929612,-0.03,-2.00842e-06,-0.02989811,0.03,2.063519e-06,0.030134296,0.060032405999999996,4.071939e-06,14742.953172923268
0,1.0,96,16.23664970000027,0.1622387000006711,-0.03,-2.009796e-06,-0.0298980765,0.03,2.063542e-06,0.0301369407,0.0600350172,4.073338e-06,14738.530708720955
0,1.0,97,16.4034001,0.16674530000000232,-0.03,-2.009191e-06,-0.0298993678,0.03,2.062799e-06,0.0301355107,0.0600348785,4.07199e-06,14743.375720470825
0,1.0,98,16.57413639999959,0.1707321999992928,-0.03,-2.007918e-06,-0.0299000708,0.03,2.06265e-06,0.0301352286,0.060035299400000006,4.0705680000000004e-06,14748.629527869329
0,1.0,99,16.738038899999992,0.16389880000042467,-0.03,-2.008553e-06,-0.0298976892,0.03,2.0632e-06,0.0301368642,0.060034553399999996,4.071753e-06,14744.154028989477
0,1.0,100,16.89802940000027,0.15998670000044513,-0.03,-2.008926e-06,-0.0298977035,0.03,2.063405e-06,0.0301348938,0.060032597300000004,4.072331e-06,14741.581001151431
0,1.0,101,17.060806299999967,0.16277350000018487,-0.03,-2.007213e-06,-0.0298983443,0.03,2.063064e-06,0.0301370794,0.0600354237,4.070277e-06,14749.714503460084
0,1.0,102,17.229975000000195,0.16916480000054435,-0.03,-2.009214e-06,-0.0298984352,0.03,2.063485e-06,0.0301358981,0.0600343333,4.072699e-06,14740.675237723191
0,1.0,103,17.3923149000002,0.16233480000028067,-0.03,-2.008506e-06,-0.029898263,0.03,2.063904e-06,0.0301358838,0.0600341468,4.07241e-06,14741.675518918773
0,1.0,104,17.557222999999794,0.1649041999999099,-0.03,-2.008175e-06,-0.0298970148,0.03,2.063992e-06,0.0301371367,0.0600341515,4.0721669999999995e-06,14742.556358813381
0,1.0,105,17.73122599999988,0.1739969000000201,-0.03,-2.009597e-06,-0.0298991812,0.03,2.062711e-06,0.0301363907,0.0600355719,4.072308e-06,14742.394705901419
0,1.0,106,17.89627290000044,0.16504400000030728,-0.03,-2.007942e-06,-0.0298998699,0.03,2.063334e-06,0.030137395,0.0600372649,4.0712760000000005e-06,14746.547495183326
0,1.0,107,18.06910009999956,0.17282369999975344,-0.03,-2.008589e-06,-0.0299002812,0.03,2.063563e-06,0.030137218,0.0600374992,4.072152e-06,14743.43275987733
0,1.0,108,18.241788700000143,0.172685100000308,-0.03,-2.010555e-06,-0.029898593,0.03,2.063825e-06,0.0301361755,0.0600347685,4.07438e-06,14734.70037159028
0,1.0,109,18.403954299999896,0.1621594999996887,-0.03,-2.010062e-06,-0.0298982009,0.03,2.06442e-06,0.0301371894,0.060035390300000005,4.074482e-06,14734.484113563396
0,1.0,110,18.590981600000305,0.18702220000068337,-0.03,-2.008853e-06,-0.0298993199,0.03,2.064105e-06,0.0301362281,0.060035547999999994,4.072958e-06,14740.036111347084
0,1.0,111,18.766140499999892,0.17515480000020034,-0.03,-2.01011e-06,-0.0298998508,0.03,2.063367e-06,0.0301363922,0.060036243,4.073477e-06,14738.328705427823
0,1.0,112,18.93622190000042,0.17007750000084343,-0.03,-2.010658e-06,-0.0298994739,0.03,2.062588e-06,0.0301358279,0.060035301799999996,4.073246e-06,14738.933469768335
