nplc,round,sample_index,sample_wall_time,sample_started_s,sample_ended_s,sample_elapsed_s,differential_resistance_ohm,compliance_hit,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm
0.1,2,51,2026-05-27T21:49:52.487,16670.9802146,16671.1370857,0.15687109999998938,28597.680094826734,False,-0.03,-0.0298624372,-1.241254e-06,24058.280738672343,0.03,0.0301009668,8.555386e-07,35183.645483675435
0.1,2,52,2026-05-27T21:49:52.650,16671.1371408,16671.3012011,0.16406029999780003,41153.092481043706,False,-0.03,-0.0298833009,-1.029244e-06,29034.224051828332,0.03,0.0300955865,4.282136e-07,70281.71571384
0.1,2,53,2026-05-27T21:49:52.813,16671.3012533,16671.4641575,0.16290419999859296,28085.20412878592,False,-0.03,-0.0298656083,-1.211377e-06,24654.263949208216,0.03,0.0301213489,9.245148e-07,32580.710335843192
0.1,2,54,2026-05-27T21:49:52.971,16671.4642101,16671.6220036,0.15779350000229897,27394.218226782716,False,-0.03,-0.0299313661,-7.558278e-07,39600.77427689217,0.03,0.0301109472,1.43596e-06,20969.210284409037
0.1,2,55,2026-05-27T21:49:53.137,16671.6220591,16671.7874863,0.16542720000143163,37247.79202516247,False,-0.03,-0.0298661567,-6.611866e-07,45170.54141750604,0.03,0.0301223659,9.49339e-07,31729.830861262417
0.1,2,56,2026-05-27T21:49:53.320,16671.7875505,16671.9705151,0.18296460000055959,46642.3897274343,False,-0.03,-0.029903159,-5.31629e-07,56248.171187049615,0.03,0.0300893088,7.54593e-07,39874.88460666876
0.1,2,57,2026-05-27T21:49:53.476,16671.9705687,16672.126572,0.15600330000233953,48836.66202333275,False,-0.03,-0.0298962998,-4.386645e-07,68152.99574048049,0.03,0.0301240555,7.903375e-07,38115.432331124364
0.1,2,58,2026-05-27T21:49:53.641,16672.1266275,16672.2921618,0.16553429999839864,33957.48957731459,False,-0.03,-0.0298710736,-7.419438e-07,40260.5609751035,0.03,0.0301452169,1.025451e-06,29397.033012791442
0.1,2,59,2026-05-27T21:49:53.803,16672.2922148,16672.4548375,0.16262270000152057,43395.39494558125,False,-0.03,-0.0298574408,-6.931558e-07,43074.64613294732,0.03,0.0301032609,6.885738e-07,43718.2781279218
0.1,2,60,2026-05-27T21:49:53.972,16672.4549005,16672.6228054,0.16790489999766578,31554.642904338732,False,-0.03,-0.0299202701,-7.276442e-07,41119.36864198189,0.03,0.0301094782,1.174762e-06,25630.27932466321
0.1,2,61,2026-05-27T21:49:54.144,16672.6228611,16672.795071,0.17220989999987069,42517.59335941394,False,-0.03,-0.0298930468,-8.816081e-07,33907.40942602501,0.03,0.0301073005,5.295806e-07,56851.21490477559
0.1,2,62,2026-05-27T21:49:54.317,16672.7951238,16672.9671357,0.1720119000019622,45596.39698486116,False,-0.03,-0.0298434892,-1.008212e-06,29600.41062792349,0.03,0.0300911599,3.062482e-07,98257.42616609664
