nplc,pair,elapsed_s_total,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
1.0,4,7.936644899999919,-0.03,-1.980037e-06,-0.0298927635,0.03,1.98868e-06,0.0301394521,0.060032215599999994,3.968717e-06,15126.3533277883
1.0,5,7.936644899999919,-0.03,-1.979448e-06,-0.0298933517,0.03,1.988399e-06,0.0301396912,0.0600330429,3.967847e-06,15129.878470616433
1.0,6,7.936644899999919,-0.03,-1.981345e-06,-0.0298928878,0.03,1.98826e-06,0.0301408581,0.060033745900000005,3.9696050000000004e-06,15123.355069333094
1.0,7,7.936644899999919,-0.03,-1.978836e-06,-0.0298925817,0.03,1.988248e-06,0.0301415085,0.0600340902,3.967084e-06,15133.052438516552
1.0,8,7.936644899999919,-0.03,-1.978406e-06,-0.0298940499,0.03,1.988258e-06,0.0301408246,0.0600348745,3.966664e-06,15134.852485615116
1.0,9,7.936644899999919,-0.03,-1.980667e-06,-0.0298913479,0.03,1.987697e-06,0.0301404516,0.0600317995,3.968364000000001e-06,15127.594016073119
1.0,10,7.936644899999919,-0.03,-1.980302e-06,-0.0298912714,0.03,1.986927e-06,0.0301389643,0.060030235700000004,3.967229e-06,15131.527748965336
1.0,11,7.936644899999919,-0.03,-1.97926e-06,-0.0298928687,0.03,1.988214e-06,0.0301419533,0.060034822,3.967473999999999e-06,15131.749319592267
1.0,12,7.936644899999919,-0.03,-1.980357e-06,-0.0298935382,0.03,1.987588e-06,0.0301413363,0.0600348745,3.9679449999999995e-06,15129.966393183375
1.0,13,7.936644899999919,-0.03,-1.980489e-06,-0.0298940021,0.03,1.987358e-06,0.0301399017,0.060033903799999996,3.967847e-06,15130.09543966791
1.0,14,7.936644899999919,-0.03,-1.978046e-06,-0.0298918596,0.03,1.986931e-06,0.0301420393,0.0600338989,3.964977000000001e-06,15141.04593797139
1.0,15,7.936644899999919,-0.03,-1.978129e-06,-0.0298922518,0.03,1.986723e-06,0.0301405903,0.0600328421,3.964852e-06,15141.25674804507
1.0,16,7.936644899999919,-0.03,-1.979135e-06,-0.0298922805,0.03,1.985893e-06,0.030141475,0.0600337555,3.965028e-06,15140.81502072621
1.0,17,7.936644899999919,-0.03,-1.978656e-06,-0.029893959,0.03,1.986787e-06,0.0301407625,0.0600347215,3.965443e-06,15139.474076414665
1.0,18,7.936644899999919,-0.03,-1.978358e-06,-0.0298941695,0.03,1.987103e-06,0.0301406238,0.0600347933,3.9654609999999995e-06,15139.423461736229
1.0,19,7.936644899999919,-0.03,-1.979109e-06,-0.02989295,0.03,1.986566e-06,0.0301383618,0.0600313118,3.965675e-06,15137.728583406357
1.0,20,7.936644899999919,-0.03,-1.978798e-06,-0.0298943225,0.03,1.986739e-06,0.0301420298,0.0600363523,3.965537e-06,15139.526450011688
1.0,21,7.936644899999919,-0.03,-1.977497e-06,-0.029892663,0.03,1.986341e-06,0.0301420441,0.0600347071,3.963838e-06,15145.60057701652
1.0,22,7.936644899999919,-0.03,-1.978465e-06,-0.0298926248,0.03,1.986288e-06,0.0301421159,0.0600347407,3.9647529999999995e-06,15142.113695355047
1.0,23,7.936644899999919,-0.03,-1.978088e-06,-0.0298915966,0.03,1.985308e-06,0.0301404994,0.060032096,3.963396e-06,15146.630818621203
1.0,24,7.936644899999919,-0.03,-1.977255e-06,-0.0298927443,0.03,1.986232e-06,0.0301405425,0.0600332868,3.963487e-06,15146.583500841558
1.0,25,7.936644899999919,-0.03,-1.976258e-06,-0.0298916827,0.03,1.986468e-06,0.0301404325,0.0600321152,3.962726e-06,15149.196588409091
1.0,26,7.936644899999919,-0.03,-1.978036e-06,-0.0298920222,0.03,1.985768e-06,0.030141365,0.060033387199999996,3.963804e-06,15145.397501995556
1.0,27,7.936644899999919,-0.03,-1.978177e-06,-0.029891544,0.03,1.985044e-06,0.030141432,0.060032976,3.963221e-06,15147.521674920474
1.0,28,7.936644899999919,-0.03,-1.97643e-06,-0.0298919409,0.03,1.985216e-06,0.0301427184,0.0600346593,3.961646e-06,15153.968653433445
1.0,29,7.936644899999919,-0.03,-1.977161e-06,-0.0298913766,0.03,1.983535e-06,0.0301407194,0.060032096,3.960696e-06,15156.956252133463
1.0,30,7.936644899999919,-0.03,-1.977392e-06,-0.0298907549,0.03,1.984093e-06,0.0301399208,0.0600306757,3.961485e-06,15153.57894829843
1.0,31,7.936644899999919,-0.03,-1.975792e-06,-0.0298934808,0.03,1.986499e-06,0.0301409059,0.0600343867,3.962291e-06,15151.433021956238
1.0,32,7.936644899999919,-0.03,-1.977402e-06,-0.0298922231,0.03,1.986365e-06,0.030140289,0.060032512100000004,3.963767e-06,15145.318102703819
1.0,33,7.936644899999919,-0.03,-1.97811e-06,-0.0298932656,0.03,1.984896e-06,0.0301419007,0.0600351663,3.963006000000001e-06,15148.896140959663
1.0,34,7.936644899999919,-0.03,-1.978869e-06,-0.029893696,0.03,1.987436e-06,0.0301409585,0.0600346545,3.966305e-06,15136.166911016677
1.0,35,7.936644899999919,-0.03,-1.977101e-06,-0.0298916492,0.03,1.986515e-06,0.0301398873,0.060031536499999996,3.963616e-06,15145.648947829455
1.0,36,7.936644899999919,-0.03,-1.97746e-06,-0.0298921035,0.03,1.985699e-06,0.0301410494,0.0600331529,3.963159e-06,15147.803280161103
1.0,37,7.936644899999919,-0.03,-1.977936e-06,-0.0298949155,0.03,1.985033e-06,0.0301403129,0.0600352284,3.962968999999999e-06,15149.053247703934
1.0,38,7.936644899999919,-0.03,-1.976608e-06,-0.0298960106,0.03,1.986436e-06,0.0301404038,0.0600364144,3.9630439999999995e-06,15149.065819102692
1.0,39,7.936644899999919,-0.03,-1.97784e-06,-0.0298936099,0.03,1.984118e-06,0.0301413596,0.0600349695,3.9619580000000005e-06,15152.85358905874
1.0,40,7.936644899999919,-0.03,-1.977737e-06,-0.0298930535,0.03,1.984273e-06,0.0301411731,0.060034226600000004,3.96201e-06,15152.467207301344
1.0,41,7.936644899999919,-0.03,-1.976038e-06,-0.0298912219,0.03,1.984722e-06,0.0301414361,0.060032658,3.96076e-06,15156.853230188146
1.0,42,7.936644899999919,-0.03,-1.976425e-06,-0.0298932639,0.03,1.984434e-06,0.0301410152,0.060034279100000004,3.960859e-06,15156.883670941077
1.0,43,7.936644899999919,-0.03,-1.977533e-06,-0.0298933739,0.03,1.989698e-06,0.0301408909,0.0600342648,3.967231e-06,15132.535715717084
1.0,44,7.936644899999919,-0.03,-1.979238e-06,-0.0298919344,0.03,1.988281e-06,0.0301408766,0.060032811000000005,3.967519e-06,15131.070827890177
1.0,45,7.936644899999919,-0.03,-1.979586e-06,-0.0298927139,0.03,1.987721e-06,0.0301405848,0.0600332987,3.967307e-06,15132.002312903942
1.0,46,7.936644899999919,-0.03,-1.980493e-06,-0.029893876,0.03,1.988795e-06,0.0301405753,0.0600344513,3.969288e-06,15124.740583197792
1.0,47,7.936644899999919,-0.03,-1.979045e-06,-0.0298932496,0.03,1.988959e-06,0.0301413548,0.0600346044,3.968004e-06,15129.673357184114
1.0,48,7.936644899999919,-0.03,-1.978721e-06,-0.029893087,0.03,1.988594e-06,0.0301410248,0.0600341118,3.967315e-06,15132.17674926241
1.0,49,7.936644899999919,-0.03,-1.981453e-06,-0.0298943064,0.03,1.988036e-06,0.030142799,0.0600371054,3.969489e-06,15124.643348299996
1.0,50,7.936644899999919,-0.03,-1.981666e-06,-0.0298930822,0.03,1.989305e-06,0.0301423065,0.0600353887,3.9709710000000004e-06,15118.566390940652
1.0,51,7.936644899999919,-0.03,-1.979293e-06,-0.0298929531,0.03,1.988662e-06,0.0301411109,0.060034064,3.967955e-06,15129.724001406265
